itemset,support
B,8
E,7
A,6
C,6
F,6
B，E,5
D,5
G,5
A，B,5
A，F,5
B，G,5
B，F,5
A，B，F,4
E，F,4
D，E,4
C，E,4
C，H,4
B，D,4
H,4
A，C,4
B，C,4
E，H,3
B，D，E,3
B，E，G,3
B，F，G,3
C，E，H,3
A，E，F,3
A，C，F,3
A，B，G,3
A，B，C,3
F，G,3
B，D，F,3
E，G,3
C，F,3
D，F,3
A，E,3
B，E，F,3
A，G,3
B，D，E，F,2
A，C，E，F,2
A，B，F，G,2
C，D，E,2
C，E，F,2
D，E，G,2
D，E，F,2
B，D，E，G,2
E，F，G,2
A，B，E，F,2
A，B，C，F,2
A，B，D，F,2
A，B，C，G,2
A，B，E,2
B，D，G,2
B，C，H,2
A，D,2
A，H,2
B，H,2
C，D,2
C，G,2
D，G,2
A，B，D,2
A，C，E,2
A，C，G,2
A，C，H,2
A，D，F,2
A，F，G,2
B，C，E,2
B，C，F,2
B，C，G,2
B，E，F，G,2
